"","scenarioID","model","nIteration","pos","ratePos","mEs","nA","nB","nEff","sampleSize","samplePrior","p1","p2","p3","marginColiVBAT"
"115","scenario201","bayesglm",1460,1403,0.960958904109589,-0.0191503449770613,587.116438356164,316.415753424658,903.532191780822,1140,300,0.4,"0.38",0.4,"-0.02"
"116","scenario202","bayesglm",1460,1413,0.967808219178082,-0.0211539889868713,597.72397260274,322.321917808219,920.045890410959,1160,300,0.4,"0.38",0.4,"-0.02"
"117","scenario203","bayesglm",1460,1409,0.965068493150685,-0.0189903387495205,607.678767123288,327.667808219178,935.346575342466,1180,300,0.4,"0.38",0.4,"-0.02"
"118","scenario204","bayesglm",1460,1418,0.971232876712329,-0.0196789043028706,617.541780821918,333.135616438356,950.677397260274,1200,300,0.4,"0.38",0.4,"-0.02"
"119","scenario205","bayesglm",1460,695,0.476027397260274,-0.0283268494411203,103.012328767123,55.4431506849315,158.455479452055,200,300,0.4,"0.37",0.4,"-0.03"
"120","scenario206","bayesglm",1460,737,0.504794520547945,-0.0298828407851245,113.271917808219,61.2212328767123,174.493150684931,220,300,0.4,"0.37",0.4,"-0.03"
"121","scenario207","bayesglm",1460,766,0.524657534246575,-0.0297308144429749,123.442465753425,66.663698630137,190.106164383562,240,300,0.4,"0.37",0.4,"-0.03"
"122","scenario208","bayesglm",1460,834,0.571232876712329,-0.0316452329054693,134.195890410959,72.0301369863014,206.22602739726,260,300,0.4,"0.37",0.4,"-0.03"
"123","scenario209","bayesglm",1460,824,0.564383561643836,-0.029263336725366,144.165068493151,77.527397260274,221.692465753425,280,300,0.4,"0.37",0.4,"-0.03"
"124","scenario21","bayesglm",1460,74,0.0506849315068493,0.101494897363847,309.313698630137,166.424657534247,475.738356164384,600,300,0.4,"0.5",0.4,"0.1"
"125","scenario210","bayesglm",1460,869,0.595205479452055,-0.0302646177657331,154.262328767123,83.1308219178082,237.393150684931,300,300,0.4,"0.37",0.4,"-0.03"
"126","scenario211","bayesglm",1460,933,0.639041095890411,-0.0312580406411724,165.271232876712,88.5219178082192,253.793150684932,320,300,0.4,"0.37",0.4,"-0.03"
